City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
264,Abancay,-13.63,-72.88,56.55,37,100,3.02,PE,2020-04-27 03:00:09
265,Conyers,33.67,-84.02,55.0,62,90,17.22,US,2020-04-27 03:00:07
266,Mocuba,-16.84,36.99,66.54,94,23,2.64,MZ,2020-04-27 03:00:09
267,Tooele,40.53,-112.3,63.0,39,1,1.14,US,2020-04-27 02:55:45
268,San Pedro,14.35,121.02,93.0,59,40,4.7,PH,2020-04-27 03:00:10
269,Sakakah,29.97,40.21,57.2,32,8,5.08,SA,2020-04-27 03:00:10
270,Garden City,42.33,-83.33,51.8,27,1,6.93,US,2020-04-27 03:00:10
271,Manta,-0.95,-80.73,78.8,78,40,6.93,EC,2020-04-27 03:00:07
272,Junin,-34.58,-60.94,62.01,91,100,4.0,AR,2020-04-27 03:00:10
273,Puri,19.8,85.85,78.8,74,40,5.82,IN,2020-04-27 03:00:11
274,Fairbanks,64.84,-147.72,46.99,17,1,4.76,US,2020-04-27 02:58:55
275,Hokitika,-42.72,170.97,59.59,84,100,15.26,NZ,2020-04-27 03:00:11
276,Shawville,45.6,-76.48,50.0,28,100,10.6,CA,2020-04-27 03:00:11
277,Pinega,64.7,43.39,28.22,96,3,2.59,RU,2020-04-27 03:00:12
278,Rurrenabaque,-14.44,-67.53,73.8,88,100,1.68,BO,2020-04-27 03:00:12
279,Onega,63.91,38.14,31.23,96,100,1.05,RU,2020-04-27 03:00:12
280,Tessalit,20.2,1.01,80.11,14,0,9.35,ML,2020-04-27 03:00:12
281,Broken Hill,-31.95,141.43,66.2,55,1,11.41,AU,2020-04-27 03:00:12
282,Laguna,38.42,-121.42,75.2,41,1,8.05,US,2020-04-27 03:00:13
283,Saint-Ambroise,48.55,-71.33,32.0,95,20,4.16,CA,2020-04-27 03:00:13
284,Boguchany,58.38,97.45,58.68,33,0,4.83,RU,2020-04-27 02:57:51
285,Lewisville,33.05,-96.99,73.99,31,5,10.29,US,2020-04-27 02:59:57
286,Pareora,-44.49,171.21,60.01,71,81,8.01,NZ,2020-04-27 03:00:14
287,Matara,5.95,80.54,85.93,71,5,5.12,LK,2020-04-27 03:00:14
288,Itaperucu,-25.22,-49.35,62.01,87,61,3.0,BR,2020-04-27 03:00:14
289,Champerico,14.3,-91.92,84.56,70,31,4.16,GT,2020-04-27 03:00:15
290,Bloomfield,40.81,-74.19,45.0,81,90,9.17,US,2020-04-27 03:00:15
291,Raudeberg,61.99,5.14,42.01,79,10,14.83,NO,2020-04-27 03:00:15
292,Sarangani,5.4,125.46,80.8,81,100,18.19,PH,2020-04-27 03:00:15
293,Taltal,-25.4,-70.48,62.73,71,0,3.2,CL,2020-04-27 03:00:16
294,Campo Verde,-20.42,-54.07,75.2,57,0,6.93,BR,2020-04-27 03:00:16
295,Salisbury,51.07,-1.8,44.6,81,66,4.7,GB,2020-04-27 03:00:16
296,Pizarro,4.95,-77.37,79.81,83,27,4.56,CO,2020-04-27 03:00:16
297,Belaya Gora,68.53,146.42,32.54,98,30,5.66,RU,2020-04-27 03:00:17
298,Kanniyakumari,8.08,77.57,85.46,72,89,10.96,IN,2020-04-27 03:00:08
299,Stavern,59.0,10.03,45.0,87,98,9.17,NO,2020-04-27 03:00:17
300,Gilgit,35.92,74.31,62.65,17,77,3.0,PK,2020-04-27 03:00:17
301,Elko,41.0,-115.5,71.6,18,1,3.36,US,2020-04-27 03:00:17
302,Fairmont,39.49,-80.14,50.0,76,90,11.41,US,2020-04-27 02:59:28
303,Itoman,26.12,127.67,71.6,68,75,9.17,JP,2020-04-27 03:00:18
304,Qinggang,46.68,126.08,56.75,33,62,10.6,CN,2020-04-27 03:00:18
